Date,Hours,Amount,Spend,Save,totalSpend,totalSave
06/25/2024,0,0.0,0.0,0.0,0.0,0.0
06/26/2024,4,71.0,14.199999999999996,56.800000000000004,14.199999999999996,56.800000000000004
